episode_id,original_file,final_step,final_phase,final_phase_name,final_obj_z,final_left_grasped,final_right_grasped
ep_038,/home/june/bimanual_handover_IL/data/left_RMPFlow_right_joint_logged_1/handover_ep_014_1775449129.csv,701,11,DONE,0.2189864963293075,0.0,1.0
ep_039,/home/june/bimanual_handover_IL/data/left_RMPFlow_right_joint_logged_1/handover_ep_015_1775449179.csv,693,11,DONE,0.2036900222301483,0.0,1.0
ep_040,/home/june/bimanual_handover_IL/data/left_RMPFlow_right_joint_logged_1/handover_ep_016_1775449228.csv,700,11,DONE,0.2426017522811889,0.0,1.0
ep_041,/home/june/bimanual_handover_IL/data/left_RMPFlow_right_joint_logged_1/handover_ep_017_1775449277.csv,706,11,DONE,0.2563295066356659,0.0,1.0
ep_042,/home/june/bimanual_handover_IL/data/left_RMPFlow_right_joint_logged_1/handover_ep_018_1775449327.csv,698,11,DONE,0.2193599194288253,0.0,1.0
ep_043,/home/june/bimanual_handover_IL/data/left_RMPFlow_right_joint_logged_1/handover_ep_020_1775449427.csv,696,11,DONE,0.2419758439064026,0.0,1.0
ep_044,/home/june/bimanual_handover_IL/data/left_RMPFlow_right_joint_logged_1/handover_ep_022_1775449526.csv,696,11,DONE,0.2226728498935699,0.0,1.0
ep_045,/home/june/bimanual_handover_IL/data/left_RMPFlow_right_joint_logged_1/handover_ep_023_1775449575.csv,708,11,DONE,0.1647820919752121,0.0,1.0
ep_046,/home/june/bimanual_handover_IL/data/left_RMPFlow_right_joint_logged_1/handover_ep_024_1775449625.csv,693,11,DONE,0.2002194076776504,0.0,1.0
ep_047,/home/june/bimanual_handover_IL/data/left_RMPFlow_right_joint_logged_1/handover_ep_026_1775449724.csv,694,11,DONE,0.1790729314088821,0.0,1.0
ep_048,/home/june/bimanual_handover_IL/data/left_RMPFlow_right_joint_logged_1/handover_ep_029_1775449872.csv,703,11,DONE,0.2173566371202469,0.0,1.0
