step,phase,phase_name,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z,obj_x,obj_y,obj_z,left_grasped,right_grasped,pred_raw_left_dx,pred_raw_left_dy,pred_raw_left_dz,pred_real_left_dx,pred_real_left_dy,pred_real_left_dz,pred_raw_right_dx,pred_raw_right_dy,pred_raw_right_dz,pred_real_right_dx,pred_real_right_dy,pred_real_right_dz,pred_raw_left_gripper,pred_raw_right_gripper
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.44269227981567383,-0.3036159574985504,0.6764086484909058,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.45695847272872925,-0.050383925437927246,-0.15874120593070984,-0.018790864577862925,-0.002071867743586562,-0.006527692737062765,-0.569614589214325,0.8213090896606445,-1.7776936292648315,-0.005586065022131404,0.008054368804773818,-0.017433388102294018,0.5833278298377991,0.5068836212158203
1,0,LEFT_APPROACH_PRE,0.4441726505756378,0.30616700649261475,0.6746108531951904,0.42923420667648315,-0.308398574590683,0.6610144376754761,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.45186924934387207,-0.0647420883178711,-0.15845820307731628,-0.018703032446673335,-0.0026796985637609965,-0.006558642611551698,-0.5694237351417542,0.8260254859924316,-1.762298583984375,-0.0056159779674141135,0.008146729129057464,-0.017380782375005042,0.5836501717567444,0.5068780779838562
2,0,LEFT_APPROACH_PRE,0.445464164018631,0.31016382575035095,0.6760347485542297,0.41494783759117126,-0.31524011492729187,0.646248996257782,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.44802868366241455,-0.08261120319366455,-0.16196638345718384,-0.018532125998077634,-0.003417105382456606,-0.006699529595170187,-0.5663319826126099,0.8381398320198059,-1.7538673877716064,-0.005594332729837469,0.008279301255101812,-0.017325028485839174,0.5839329957962036,0.5069723129272461
3,0,LEFT_APPROACH_PRE,0.445879191160202,0.31284263730049133,0.6779815554618835,0.4017949104309082,-0.32217642664909363,0.6323266625404358,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.4434058964252472,-0.09989388287067413,-0.16730137169361115,-0.018310004214211133,-0.00412501825321196,-0.006908543268029717,-0.5627741813659668,0.849553108215332,-1.7461400032043457,-0.0055672073070512085,0.008404149352240492,-0.017273577407866367,0.5841814875602722,0.5070666074752808
4,0,LEFT_APPROACH_PRE,0.44572916626930237,0.31481969356536865,0.6800668835639954,0.3903171420097351,-0.32836881279945374,0.6187060475349426,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.43647289276123047,-0.11397959291934967,-0.1723535805940628,-0.01807663965968188,-0.004720494820940512,-0.007138068874667014,-0.5593136548995972,0.8585371971130371,-1.7366399765014648,-0.005547668140377204,0.008515578716932502,-0.017225222707412814,0.5843008756637573,0.5072064995765686
5,0,LEFT_APPROACH_PRE,0.4449061155319214,0.31600242853164673,0.6821894645690918,0.38037794828414917,-0.3337540328502655,0.6054415702819824,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.43007001280784607,-0.12213461101055145,-0.17784667015075684,-0.01787670801629198,-0.005076765909495179,-0.007392547490576557,-0.5562801361083984,0.8637255430221558,-1.726871371269226,-0.005536870533104025,0.008596993128866184,-0.017188216133208006,0.5844027400016785,0.5073474645614624
6,0,LEFT_APPROACH_PRE,0.44400766491889954,0.31709837913513184,0.6843217611312866,0.371837317943573,-0.33832892775535583,0.5926260352134705,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.4249609112739563,-0.12710003554821014,-0.18389463424682617,-0.01770042794942319,-0.005293957542697161,-0.007659560297001274,-0.5532141923904419,0.8667552471160889,-1.7170275449752808,-0.005528346502619287,0.008661605947447009,-0.01715849548643842,0.5844728350639343,0.5075315237045288
7,0,LEFT_APPROACH_PRE,0.4429057538509369,0.31794190406799316,0.6864321827888489,0.36456555128097534,-0.34210190176963806,0.5803331732749939,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.42076992988586426,-0.1305934637784958,-0.1896839141845703,-0.017544192904498095,-0.005445153652538815,-0.007908956759902159,-0.5503424406051636,0.8681564927101135,-1.7057421207427979,-0.005526874470939378,0.008718557033442018,-0.017130102797038242,0.5844762921333313,0.5077106952667236
8,0,LEFT_APPROACH_PRE,0.4417082369327545,0.31862202286720276,0.6884987354278564,0.3584460914134979,-0.34509190917015076,0.568619430065155,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.41767555475234985,-0.132900670170784,-0.19317863881587982,-0.017439767545640167,-0.0055491799030769765,-0.00806604676141433,-0.547892153263092,0.8712199330329895,-1.6976120471954346,-0.005519713467936588,0.008777063824069458,-0.01710251191667735,0.5844686031341553,0.5078343749046326
9,0,LEFT_APPROACH_PRE,0.4405309557914734,0.31934982538223267,0.6905416250228882,0.35337236523628235,-0.34732282161712646,0.5575270056724548,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.4150509238243103,-0.1346035599708557,-0.1961272805929184,-0.01735220583016279,-0.005627426766252977,-0.008199574429086184,-0.545852541923523,0.8734754920005798,-1.6895767450332642,-0.0055170517742385555,0.008828409035000637,-0.017076924009642086,0.58437579870224,0.5079222917556763
10,0,LEFT_APPROACH_PRE,0.4395247995853424,0.3201918303966522,0.6925744414329529,0.34924888610839844,-0.348823219537735,0.5470868945121765,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.4124598205089569,-0.13605518639087677,-0.19872307777404785,-0.01727130777098494,-0.005697163411204377,-0.008321313414717018,-0.5440627932548523,0.8748255372047424,-1.6814619302749634,-0.0055179816228125966,0.008872636205434681,-0.01705368598210698,0.5842723250389099,0.5080132484436035
11,0,LEFT_APPROACH_PRE,0.43843889236450195,0.32092785835266113,0.6945934295654297,0.3459838032722473,-0.349631667137146,0.5373251438140869,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.4098040759563446,-0.13728457689285278,-0.20082658529281616,-0.017198110214095317,-0.005761375795467297,-0.008428021951041293,-0.5425029993057251,0.875141441822052,-1.672909140586853,-0.005523388713333888,0.008910082282525099,-0.01703239885747302,0.5841403603553772,0.5081096887588501
12,0,LEFT_APPROACH_PRE,0.4372316300868988,0.32151541113853455,0.6966023445129395,0.3434986472129822,-0.34978315234184265,0.5282573699951172,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.4071264863014221,-0.1378384530544281,-0.20348888635635376,-0.017121912721973095,-0.005796866679861255,-0.008557829247948933,-0.5408438444137573,0.8753553628921509,-1.6638480424880981,-0.005529223939921383,0.008949044864674688,-0.01701006403962783,0.5839271545410156,0.5082070231437683
13,0,LEFT_APPROACH_PRE,0.43595653772354126,0.3220154345035553,0.6986005902290344,0.3417178690433502,-0.3493186831474304,0.5198955535888672,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.4033183157444,-0.13762611150741577,-0.2073606550693512,-0.017020338012704618,-0.00580792601225405,-0.008750776500943505,-0.5390514135360718,0.8758795261383057,-1.653615117073059,-0.005536247095440668,0.0089955899581639,-0.0169832072766838,0.5835822820663452,0.5083047151565552
14,0,LEFT_APPROACH_PRE,0.434658020734787,0.3224780261516571,0.7005835771560669,0.34057390689849854,-0.3482779562473297,0.5122474431991577,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.39969080686569214,-0.13624998927116394,-0.21113206446170807,-0.016931888701194577,-0.005771885703274414,-0.008944075158376958,-0.5374077558517456,0.8749938011169434,-1.641694188117981,-0.005550633499190521,0.009037401956297014,-0.016956291859896222,0.5831998586654663,0.5084152817726135
15,0,LEFT_APPROACH_PRE,0.433352530002594,0.32292723655700684,0.7025498747825623,0.3399987518787384,-0.3467106521129608,0.5053170919418335,0.5500000715255737,0.2000000923871994,0.06999992579221725,0.0,0.0,-0.39616769552230835,-0.13409064710140228,-0.21410763263702393,-0.01686311583157941,-0.005707648906156349,-0.009113619940220686,-0.535495400428772,0.8732906579971313,-1.6289221048355103,-0.005565726194562223,0.009076635741015342,-0.016930368441120437,0.5827946066856384,0.5085505843162537
