step,phase,phase_name,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z,obj_x,obj_y,obj_z,left_grasped,right_grasped,action_left_dx,action_left_dy,action_left_dz,action_right_dx,action_right_dy,action_right_dz,action_left_gripper,action_right_gripper
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.4432837665081024,-0.3031669557094574,0.6733620166778564,0.5346652269363403,0.1766507774591446,0.06999992579221725,0.0,0.0,0.009767136487040726,-0.013479238973454639,-0.011086620835043439,0.0,0.0,0.0,0.0,0.0
1,0,LEFT_APPROACH_PRE,0.44705531001091003,0.30167046189308167,0.6704729199409485,0.42972639203071594,-0.3080216944217682,0.6581670045852661,0.5346652269363403,0.1766507774591446,0.06999992579221725,0.0,0.0,0.009587568063611215,-0.013681496066498868,-0.01099523551398506,0.0,0.0,0.0,0.0,0.0
2,0,LEFT_APPROACH_PRE,0.4538452625274658,0.30051639676094055,0.6654696464538574,0.4154245853424072,-0.3148614764213562,0.6435173749923706,0.5346652269363403,0.1766507774591446,0.06999992579221725,0.0,0.0,0.009182156452877495,-0.014072679985451276,-0.010846551567293604,0.0,0.0,0.0,0.0,0.0
3,0,LEFT_APPROACH_PRE,0.4617083668708801,0.2990652918815613,0.6606405973434448,0.4022400379180908,-0.3218080997467041,0.6297919154167175,0.5346652269363403,0.1766507774591446,0.06999992579221725,0.0,0.0,0.00863958404606391,-0.014496381626918093,-0.010733708922723292,0.0,0.0,0.0,0.0,0.0
4,0,LEFT_APPROACH_PRE,0.47092902660369873,0.2983168363571167,0.6558742523193359,0.3907378911972046,-0.3280085325241089,0.6163588166236877,0.5346652269363403,0.1766507774591446,0.06999992579221725,0.0,0.0,0.00786936643642091,-0.015021836810892766,-0.010602711479439544,0.0,0.0,0.0,0.0,0.0
5,0,LEFT_APPROACH_PRE,0.48071733117103577,0.29762107133865356,0.651149332523346,0.38078123331069946,-0.33339616656303406,0.6032676100730896,0.5346652269363403,0.1766507774591446,0.06999992579221725,0.0,0.0,0.006945941493781926,-0.015575261497280966,-0.010448211619998687,0.0,0.0,0.0,0.0,0.0
6,0,LEFT_APPROACH_PRE,0.49041303992271423,0.29650014638900757,0.6465516686439514,0.37222838401794434,-0.3379688560962677,0.5906133651733398,0.5346652269363403,0.1766507774591446,0.06999992579221725,0.0,0.0,0.005942394506326971,-0.016093944267574267,-0.010279732751554797,0.0,0.0,0.0,0.0,0.0
7,0,LEFT_APPROACH_PRE,0.49955275654792786,0.29475876688957214,0.6421850323677063,0.3649493455886841,-0.34173595905303955,0.5784711241722107,0.5346652269363403,0.1766507774591446,0.06999992579221725,0.0,0.0,0.0049175643483677705,-0.016541235397442726,-0.010109653426604205,0.0,0.0,0.0,0.0,0.0
8,0,LEFT_APPROACH_PRE,0.5078060626983643,0.292366623878479,0.6381356716156006,0.35882654786109924,-0.3447168469429016,0.5668981075286865,0.5346652269363403,0.1766507774591446,0.06999992579221725,0.0,0.0,0.003922608240358633,-0.01689955535037745,-0.009950787584518096,0.0,0.0,0.0,0.0,0.0
9,0,LEFT_APPROACH_PRE,0.5149548053741455,0.2893727421760559,0.6344593167304993,0.3537521958351135,-0.34693601727485657,0.5559378266334534,0.5346652269363403,0.1766507774591446,0.06999992579221725,0.0,0.0,0.0030014730033727927,-0.01716512926511326,-0.009815777968249725,0.0,0.0,0.0,0.0,0.0
