step,phase,phase_name,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z,obj_x,obj_y,obj_z,left_grasped,right_grasped,action_left_dx,action_left_dy,action_left_dz,action_right_dx,action_right_dy,action_right_dz,action_left_gripper,action_right_gripper
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.4432837665081024,-0.3031669557094574,0.6733620166778564,0.560154378414154,0.1802441030740738,0.06999997794628143,0.0,0.0,0.011768079542730299,-0.012342431603499057,-0.01044876480685255,0.0,0.0,0.0,0.0,0.0
1,0,LEFT_APPROACH_PRE,0.4472251534461975,0.3010765016078949,0.6703539490699768,0.42972639203071594,-0.3080216944217682,0.6581670045852661,0.560154378414154,0.1802441030740738,0.06999997794628143,0.0,0.0,0.011675054921390138,-0.012492115212567457,-0.010374977113153779,0.0,0.0,0.0,0.0,0.0
2,0,LEFT_APPROACH_PRE,0.4538659453392029,0.2993895709514618,0.6657564640045166,0.4154245853424072,-0.3148614764213562,0.6435173749923706,0.560154378414154,0.1802441030740738,0.06999997794628143,0.0,0.0,0.011417948382168433,-0.01279910487751772,-0.010286562549094786,0.0,0.0,0.0,0.0,0.0
3,0,LEFT_APPROACH_PRE,0.4613528251647949,0.29781025648117065,0.661395251750946,0.4022400379180908,-0.3218080997467041,0.6297919154167175,0.560154378414154,0.1802441030740738,0.06999997794628143,0.0,0.0,0.01105730102705543,-0.013157327046613819,-0.010228432870460822,0.0,0.0,0.0,0.0,0.0
4,0,LEFT_APPROACH_PRE,0.47005656361579895,0.2973213791847229,0.6570679545402527,0.3907378911972046,-0.3280085325241089,0.6163588166236877,0.560154378414154,0.1802441030740738,0.06999997794628143,0.0,0.0,0.010508232989917514,-0.013654884948642126,-0.010154858761644887,0.0,0.0,0.0,0.0,0.0
5,0,LEFT_APPROACH_PRE,0.4794122874736786,0.29721859097480774,0.652738094329834,0.38078123331069946,-0.33339616656303406,0.6032676100730896,0.560154378414154,0.1802441030740738,0.06999997794628143,0.0,0.0,0.009818906295091181,-0.01422506554184142,-0.010061639503507103,0.0,0.0,0.0,0.0,0.0
6,0,LEFT_APPROACH_PRE,0.48889294266700745,0.2969047725200653,0.6484721302986145,0.37222838401794434,-0.3379688560962677,0.5906133651733398,0.560154378414154,0.1802441030740738,0.06999997794628143,0.0,0.0,0.009041869243955853,-0.014802263075161907,-0.009956787053507955,0.0,0.0,0.0,0.0,0.0
7,0,LEFT_APPROACH_PRE,0.49809083342552185,0.2960406243801117,0.6443693041801453,0.3649493455886841,-0.34173595905303955,0.5784711241722107,0.560154378414154,0.1802441030740738,0.06999997794628143,0.0,0.0,0.008222047472953194,-0.015340478787595311,-0.00985229140453338,0.0,0.0,0.0,0.0,0.0
8,0,LEFT_APPROACH_PRE,0.5066865086555481,0.29447704553604126,0.640518069267273,0.35882654786109924,-0.3447168469429016,0.5668981075286865,0.560154378414154,0.1802441030740738,0.06999997794628143,0.0,0.0,0.007400303377266353,-0.015810587437145945,-0.009760165716666037,0.0,0.0,0.0,0.0,0.0
9,0,LEFT_APPROACH_PRE,0.5144427418708801,0.2921883463859558,0.6369748711585999,0.3537521958351135,-0.34693601727485657,0.5559378266334534,0.560154378414154,0.1802441030740738,0.06999997794628143,0.0,0.0,0.006613995297908069,-0.016197160173684652,-0.009690565953918982,0.0,0.0,0.0,0.0,0.0
10,0,LEFT_APPROACH_PRE,0.5212075114250183,0.2892198860645294,0.6337608098983765,0.34963077306747437,-0.3484225273132324,0.5456222891807556,0.560154378414154,0.1802441030740738,0.06999997794628143,0.0,0.0,0.005895287468261531,-0.016495385058490873,-0.009651313767496872,0.0,0.0,0.0,0.0,0.0
11,0,LEFT_APPROACH_PRE,0.5269185900688171,0.28564873337745667,0.6308681964874268,0.34637168049812317,-0.3492136597633362,0.5359768271446228,0.560154378414154,0.1802441030740738,0.06999997794628143,0.0,0.0,0.005268277294717957,-0.016707917826879613,-0.009648354068762072,0.0,0.0,0.0,0.0,0.0
12,0,LEFT_APPROACH_PRE,0.5316042900085449,0.2815641164779663,0.6282669305801392,0.34389153122901917,-0.34934931993484497,0.5270212292671204,0.560154378414154,0.1802441030740738,0.06999997794628143,0.0,0.0,0.0047458587623395556,-0.016842346215598884,-0.009685669752878571,0.0,0.0,0.0,0.0,0.0
