step,phase,phase_name,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z,obj_x,obj_y,obj_z,left_grasped,right_grasped,action_left_dx,action_left_dy,action_left_dz,action_right_dx,action_right_dy,action_right_dz,action_left_gripper,action_right_gripper
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.44269227981567383,-0.3036159574985504,0.6764086484909058,0.5537892580032349,0.1725935935974121,0.06999996304512024,0.0,0.0,0.011060173604347183,-0.013031662693188244,-0.010385004925018933,-0.007953227960594403,-8.959371789820396e-05,-0.01835042609784668,0.0,0.0
1,0,LEFT_APPROACH_PRE,0.44716277718544006,0.30086255073547363,0.6703422665596008,0.42923420667648315,-0.308398574590683,0.6610144376754761,0.5537892580032349,0.1725935935974121,0.06999996304512024,0.0,0.0,0.010955411672180884,-0.013179082901648853,-0.010309739519721615,-0.007417938874290639,0.00034674717892613563,-0.01857024365083007,0.0,0.0
2,0,LEFT_APPROACH_PRE,0.4537375271320343,0.2988423705101013,0.6656923890113831,0.41494783759117126,-0.31524011492729187,0.646248996257782,0.5537892580032349,0.1725935935974121,0.06999996304512024,0.0,0.0,0.010679798129177099,-0.013476143188554675,-0.010214473881781516,-0.006666711285669635,0.0010754152546410807,-0.01882547323876907,0.0,0.0
3,0,LEFT_APPROACH_PRE,0.4613206684589386,0.2970592677593231,0.6612219214439392,0.4017949104309082,-0.32217642664909363,0.6323266625404358,0.5537892580032349,0.1725935935974121,0.06999996304512024,0.0,0.0,0.010280065575168022,-0.013837296519257502,-0.010141473108399465,-0.0058259775332853685,0.001947033058071713,-0.019033314163656053,0.0,0.0
4,0,LEFT_APPROACH_PRE,0.4700899124145508,0.2962024211883545,0.656753420829773,0.3903171420097351,-0.32836881279945374,0.6187060475349426,0.5537892580032349,0.1725935935974121,0.06999996304512024,0.0,0.0,0.009695375244289853,-0.014318319439321164,-0.01004915057634073,-0.004974829133182379,0.00288191102748217,-0.019155825848167354,0.0,0.0
5,0,LEFT_APPROACH_PRE,0.47955140471458435,0.29570314288139343,0.6522530317306519,0.38037794828414917,-0.3337540328502655,0.6054415702819824,0.5537892580032349,0.1725935935974121,0.06999996304512024,0.0,0.0,0.008964383605181326,-0.014865748083414789,-0.009932238443553688,-0.004118907366410734,0.0038677835715595333,-0.019185276968303102,0.0,0.0
6,0,LEFT_APPROACH_PRE,0.4891684949398041,0.29500067234039307,0.6478061079978943,0.371837317943573,-0.33832892775535583,0.5926260352134705,0.5537892580032349,0.1725935935974121,0.06999996304512024,0.0,0.0,0.008139330391804415,-0.015417825617546115,-0.009800099693369846,-0.003262143150648184,0.004894588404071995,-0.019115476097115735,0.0,0.0
7,0,LEFT_APPROACH_PRE,0.4985124468803406,0.29376986622810364,0.6435296535491943,0.36456555128097534,-0.34210190176963806,0.5803331732749939,0.5537892580032349,0.1725935935974121,0.06999996304512024,0.0,0.0,0.007266689348632023,-0.015929832270437795,-0.009666212792308915,-0.002410119756850678,0.005950082032676087,-0.018941695979031635,0.0,0.0
8,0,LEFT_APPROACH_PRE,0.507244348526001,0.2918700873851776,0.6395257115364075,0.3584460914134979,-0.34509190917015076,0.568619430065155,0.5537892580032349,0.1725935935974121,0.06999996304512024,0.0,0.0,0.006389346497358462,-0.016373409173194693,-0.00954398886125906,-0.0015705731746691973,0.007020298181562413,-0.018661423132895334,0.0,0.0
9,0,LEFT_APPROACH_PRE,0.5151072144508362,0.28928476572036743,0.6358620524406433,0.35337236523628235,-0.34732282161712646,0.5575270056724548,0.5537892580032349,0.1725935935974121,0.06999996304512024,0.0,0.0,0.005547139053213592,-0.016733918340474423,-0.009444851788071978,-0.0007529194649529964,0.008089559122541484,-0.018275451991187543,0.0,0.0
10,0,LEFT_APPROACH_PRE,0.5219318270683289,0.28606417775154114,0.6325656175613403,0.34924888610839844,-0.348823219537735,0.5470868945121765,0.5537892580032349,0.1725935935974121,0.06999996304512024,0.0,0.0,0.004774969529185418,-0.01700760437657163,-0.009377689447053162,3.1749627437656766e-05,0.009141381606365566,-0.01778859562438696,0.0,0.0
