step,phase,phase_name,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z,obj_x,obj_y,obj_z,left_grasped,right_grasped,action_left_dx,action_left_dy,action_left_dz,action_right_dx,action_right_dy,action_right_dz,action_left_gripper,action_right_gripper
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.44269227981567383,-0.3036159574985504,0.6764086484909058,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.012797029735634444,-0.011646649365245329,-0.010029535807220512,-0.007953227960594403,-8.959371789820396e-05,-0.01835042609784668,0.0,0.0
1,0,LEFT_APPROACH_PRE,0.44728514552116394,0.30070364475250244,0.6703610420227051,0.42923420667648315,-0.308398574590683,0.6610144376754761,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.012750335670804391,-0.01175339585078038,-0.009964267472156282,-0.007417938874290639,0.00034674717892613563,-0.01857024365083007,0.0,0.0
2,0,LEFT_APPROACH_PRE,0.4537747800350189,0.29852986335754395,0.6660459637641907,0.41494783759117126,-0.31524011492729187,0.646248996257782,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.01257698200548792,-0.01198642352054298,-0.009906824658779782,-0.006666711285669635,0.0010754152546410807,-0.01882547323876907,0.0,0.0
3,0,LEFT_APPROACH_PRE,0.4611624777317047,0.2968825399875641,0.6619082689285278,0.4017949104309082,-0.32217642664909363,0.6323266625404358,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.0122996789638186,-0.012301283824226055,-0.009868957070675331,-0.0058259775332853685,0.001947033058071713,-0.019033314163656053,0.0,0.0
4,0,LEFT_APPROACH_PRE,0.4693804085254669,0.2961384952068329,0.6578298807144165,0.3903171420097351,-0.32836881279945374,0.6187060475349426,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.011892643854506533,-0.01273026400969476,-0.00982371622113232,-0.004974829133182379,0.00288191102748217,-0.019155825848167354,0.0,0.0
5,0,LEFT_APPROACH_PRE,0.4782591462135315,0.29602915048599243,0.6537250876426697,0.38037794828414917,-0.3337540328502655,0.6054415702819824,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.011359806487154204,-0.013255062919548035,-0.009760025797774921,-0.004118907366410734,0.0038677835715595333,-0.019185276968303102,0.0,0.0
6,0,LEFT_APPROACH_PRE,0.48741936683654785,0.2959984838962555,0.6496258974075317,0.371837317943573,-0.33832892775535583,0.5926260352134705,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.01073471804557183,-0.013821537860886884,-0.00968147300993733,-0.003262143150648184,0.004894588404071995,-0.019115476097115735,0.0,0.0
7,0,LEFT_APPROACH_PRE,0.4965096712112427,0.2956268787384033,0.6456204652786255,0.36456555128097534,-0.34210190176963806,0.5803331732749939,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.010052350601188987,-0.014381367613076249,-0.009598255725304311,-0.002410119756850678,0.005950082032676087,-0.018941695979031635,0.0,0.0
8,0,LEFT_APPROACH_PRE,0.505224883556366,0.2946568429470062,0.6418067216873169,0.3584460914134979,-0.34509190917015076,0.568619430065155,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.009347360976745357,-0.014897673732435723,-0.009522928128066111,-0.0015705731746691973,0.007020298181562413,-0.018661423132895334,0.0,0.0
9,0,LEFT_APPROACH_PRE,0.5133123993873596,0.29297003149986267,0.638261616230011,0.35337236523628235,-0.34732282161712646,0.5575270056724548,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.008653567860316548,-0.01534564300683871,-0.009467153954254605,-0.0007529194649529964,0.008089559122541484,-0.018275451991187543,0.0,0.0
10,0,LEFT_APPROACH_PRE,0.5205870866775513,0.29055067896842957,0.635022759437561,0.34924888610839844,-0.348823219537735,0.5470868945121765,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.008002043542983974,-0.015711843456331427,-0.00943955901194139,3.1749627437656766e-05,0.009141381606365566,-0.01778859562438696,0.0,0.0
11,0,LEFT_APPROACH_PRE,0.5269440412521362,0.287447988986969,0.6320924162864685,0.3459838032722473,-0.349631667137146,0.5373251438140869,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.007418143794435486,-0.015992147716900332,-0.009445758521469717,0.0007724210828639512,0.010160100888813623,-0.01720975640733697,0.0,0.0
12,0,LEFT_APPROACH_PRE,0.5323651432991028,0.2837473452091217,0.6294452548027039,0.3434986472129822,-0.34978315234184265,0.5282573699951172,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.006918382576896986,-0.01618952375964828,-0.009488693427204407,0.0014564342496523818,0.011130305339289359,-0.016552797417072024,0.0,0.0
13,0,LEFT_APPROACH_PRE,0.5369138121604919,0.27955546975135803,0.6270421743392944,0.3417178690433502,-0.3493186831474304,0.5198955535888672,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.006508045133685263,-0.016311742040831544,-0.00956934794702776,0.0020718419990139593,0.012038900985067186,-0.015835792806262343,0.0,0.0
14,0,LEFT_APPROACH_PRE,0.5407193899154663,0.27499210834503174,0.6248385310173035,0.34057390689849854,-0.3482779562473297,0.5122474431991577,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.006180516988275592,-0.016369619509706515,-0.009686937950925081,0.00260626476462733,0.012874673436159672,-0.015081451120131198,0.0,0.0
15,0,LEFT_APPROACH_PRE,0.5439401865005493,0.2701822817325592,0.6227944493293762,0.3399987518787384,-0.3467106521129608,0.5053170919418335,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.0059206243911614324,-0.01637471335710145,-0.009839459806897306,0.0030485534928711582,0.01363032267346409,-0.01431504891428436,0.0,0.0
16,0,LEFT_APPROACH_PRE,0.5467241406440735,0.26523852348327637,0.620878279209137,0.3399311304092407,-0.3446637690067291,0.49910447001457214,0.5757078528404236,0.18232221901416779,0.06999990344047546,0.0,0.0,0.005710652750168167,-0.016336976400487594,-0.010024552222264504,0.0033862462895887188,0.01430024643517958,-0.013565997492236992,0.0,0.0
