step,phase,phase_name,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z,obj_x,obj_y,obj_z,left_grasped,right_grasped,action_left_dx,action_left_dy,action_left_dz,action_right_dx,action_right_dy,action_right_dz,action_left_gripper,action_right_gripper
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.44269227981567383,-0.3036159574985504,0.6764086484909058,0.5747873783111572,0.17408214509487152,0.06999997794628143,0.0,0.0,0.012448080975652247,-0.01218726767141751,-0.009824244842674997,-0.007953227960594403,-8.959371789820396e-05,-0.01835042609784668,0.0,0.0
1,0,LEFT_APPROACH_PRE,0.4472239017486572,0.30037370324134827,0.6703866720199585,0.42923420667648315,-0.308398574590683,0.6610144376754761,0.5747873783111572,0.17408214509487152,0.06999997794628143,0.0,0.0,0.012404772234832924,-0.01228108590487995,-0.009761995431205508,-0.007417938874290639,0.00034674717892613563,-0.01857024365083007,0.0,0.0
2,0,LEFT_APPROACH_PRE,0.4535832703113556,0.29771116375923157,0.6661379933357239,0.41494783759117126,-0.31524011492729187,0.646248996257782,0.5747873783111572,0.17408214509487152,0.06999997794628143,0.0,0.0,0.012240796098807056,-0.012485695694146934,-0.00970929008221459,-0.006666711285669635,0.0010754152546410807,-0.01882547323876907,0.0,0.0
3,0,LEFT_APPROACH_PRE,0.4608580470085144,0.2956184148788452,0.6620234847068787,0.4017949104309082,-0.32217642664909363,0.6323266625404358,0.5747873783111572,0.17408214509487152,0.06999997794628143,0.0,0.0,0.011972796982725806,-0.012772207714411074,-0.009670720888867083,-0.0058259775332853685,0.001947033058071713,-0.019033314163656053,0.0,0.0
4,0,LEFT_APPROACH_PRE,0.4688776731491089,0.29431232810020447,0.6579418778419495,0.3903171420097351,-0.32836881279945374,0.6187060475349426,0.5747873783111572,0.17408214509487152,0.06999997794628143,0.0,0.0,0.011589211916350825,-0.013156235941347386,-0.009623077626908729,-0.004974829133182379,0.00288191102748217,-0.019155825848167354,0.0,0.0
5,0,LEFT_APPROACH_PRE,0.47760605812072754,0.2937074601650238,0.653792679309845,0.38037794828414917,-0.3337540328502655,0.6054415702819824,0.5747873783111572,0.17408214509487152,0.06999997794628143,0.0,0.0,0.01107922114089923,-0.013637963727132838,-0.009552842733367935,-0.004118907366410734,0.0038677835715595333,-0.019185276968303102,0.0,0.0
6,0,LEFT_APPROACH_PRE,0.4867078363895416,0.2933098375797272,0.6496089696884155,0.371837317943573,-0.33832892775535583,0.5926260352134705,0.5747873783111572,0.17408214509487152,0.06999997794628143,0.0,0.0,0.010469565682844587,-0.01417198739288466,-0.009462714607792062,-0.003262143150648184,0.004894588404071995,-0.019115476097115735,0.0,0.0
7,0,LEFT_APPROACH_PRE,0.4958430528640747,0.2926976680755615,0.6454838514328003,0.36456555128097534,-0.34210190176963806,0.5803331732749939,0.5747873783111572,0.17408214509487152,0.06999997794628143,0.0,0.0,0.009791901730981037,-0.014712539985845971,-0.009362682716812206,-0.002410119756850678,0.005950082032676087,-0.018941695979031635,0.0,0.0
8,0,LEFT_APPROACH_PRE,0.5046969056129456,0.2915842831134796,0.6415314674377441,0.3584460914134979,-0.34509190917015076,0.568619430065155,0.5747873783111572,0.17408214509487152,0.06999997794628143,0.0,0.0,0.009079682226268817,-0.015221499200181059,-0.009266354880365072,-0.0015705731746691973,0.007020298181562413,-0.018661423132895334,0.0,0.0
9,0,LEFT_APPROACH_PRE,0.512995183467865,0.28981494903564453,0.6378482580184937,0.35337236523628235,-0.34732282161712646,0.5575270056724548,0.5747873783111572,0.17408214509487152,0.06999997794628143,0.0,0.0,0.008367169739894119,-0.015671170404322563,-0.009187213326274991,-0.0007529194649529964,0.008089559122541484,-0.018275451991187543,0.0,0.0
