step,phase,phase_name,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z,obj_x,obj_y,obj_z,left_grasped,right_grasped,action_left_dx,action_left_dy,action_left_dz,action_right_dx,action_right_dy,action_right_dz,action_left_gripper,action_right_gripper
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.44269227981567383,-0.3036159574985504,0.6764086484909058,0.57114577293396,0.2067350149154663,0.06999997794628143,0.0,0.0,0.013410776967349151,-0.010082977376200368,-0.010885064462971683,-0.007953227960594403,-8.959371789820396e-05,-0.01835042609784668,0.0,0.0
1,0,LEFT_APPROACH_PRE,0.44731876254081726,0.3020309805870056,0.6704739928245544,0.42923420667648315,-0.308398574590683,0.6610144376754761,0.57114577293396,0.2067350149154663,0.06999997794628143,0.0,0.0,0.0133314133146799,-0.010259715562503735,-0.010817192593722928,-0.007417938874290639,0.00034674717892613563,-0.01857024365083007,0.0,0.0
2,0,LEFT_APPROACH_PRE,0.4541245102882385,0.3017050325870514,0.666000485420227,0.41494783759117126,-0.31524011492729187,0.646248996257782,0.57114577293396,0.2067350149154663,0.06999997794628143,0.0,0.0,0.013097836021572742,-0.01062970686100153,-0.010745046468078608,-0.006666711285669635,0.0010754152546410807,-0.01882547323876907,0.0,0.0
3,0,LEFT_APPROACH_PRE,0.4617903530597687,0.301483690738678,0.6618378758430481,0.4017949104309082,-0.32217642664909363,0.6323266625404358,0.57114577293396,0.2067350149154663,0.06999997794628143,0.0,0.0,0.012761962249093761,-0.011057330541079342,-0.010717637839469097,-0.0058259775332853685,0.001947033058071713,-0.019033314163656053,0.0,0.0
4,0,LEFT_APPROACH_PRE,0.4703730046749115,0.30220288038253784,0.6578709483146667,0.3903171420097351,-0.32836881279945374,0.6187060475349426,0.57114577293396,0.2067350149154663,0.06999997794628143,0.0,0.0,0.012267812894928006,-0.011622007921996634,-0.010697181808125242,-0.004974829133182379,0.00288191102748217,-0.019155825848167354,0.0,0.0
5,0,LEFT_APPROACH_PRE,0.47941067814826965,0.30320125818252563,0.6539958119392395,0.38037794828414917,-0.3337540328502655,0.6054415702819824,0.57114577293396,0.2067350149154663,0.06999997794628143,0.0,0.0,0.01165592447535846,-0.012257067467681902,-0.010672568656018738,-0.004118907366410734,0.0038677835715595333,-0.019185276968303102,0.0,0.0
6,0,LEFT_APPROACH_PRE,0.4884335994720459,0.30385565757751465,0.650210976600647,0.371837317943573,-0.33832892775535583,0.5926260352134705,0.57114577293396,0.2067350149154663,0.06999997794628143,0.0,0.0,0.010977779606010572,-0.012890109952545335,-0.010645817034551648,-0.003262143150648184,0.004894588404071995,-0.019115476097115735,0.0,0.0
7,0,LEFT_APPROACH_PRE,0.497092068195343,0.3038331866264343,0.6465590000152588,0.36456555128097534,-0.34210190176963806,0.5803331732749939,0.57114577293396,0.2067350149154663,0.06999997794628143,0.0,0.0,0.010276001142485848,-0.01347374755870761,-0.01062364943152071,-0.002410119756850678,0.005950082032676087,-0.018941695979031635,0.0,0.0
8,0,LEFT_APPROACH_PRE,0.5051308274269104,0.3030032813549042,0.6430871486663818,0.3584460914134979,-0.34509190917015076,0.568619430065155,0.57114577293396,0.2067350149154663,0.06999997794628143,0.0,0.0,0.009586711557617228,-0.013980108525700141,-0.01061374237112879,-0.0015705731746691973,0.007020298181562413,-0.018661423132895334,0.0,0.0
9,0,LEFT_APPROACH_PRE,0.5123779773712158,0.3013552725315094,0.6398259997367859,0.35337236523628235,-0.34732282161712646,0.5575270056724548,0.57114577293396,0.2067350149154663,0.06999997794628143,0.0,0.0,0.00894063512670651,-0.014395047335692713,-0.010622977724455035,-0.0007529194649529964,0.008089559122541484,-0.018275451991187543,0.0,0.0
