step,phase,phase_name,left_pos_x,left_pos_y,left_pos_z,left_rot6d_0,left_rot6d_1,left_rot6d_2,left_rot6d_3,left_rot6d_4,left_rot6d_5,right_pos_x,right_pos_y,right_pos_z,right_rot6d_0,right_rot6d_1,right_rot6d_2,right_rot6d_3,right_rot6d_4,right_rot6d_5,obj_pos_x,obj_pos_y,obj_pos_z,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,left_grip_state,right_grip_state,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9,phase_10,phase_11,action_left_pos_x,action_left_pos_y,action_left_pos_z,action_left_rot6d_0,action_left_rot6d_1,action_left_rot6d_2,action_left_rot6d_3,action_left_rot6d_4,action_left_rot6d_5,action_left_grip_cmd,action_right_pos_x,action_right_pos_y,action_right_pos_z,action_right_rot6d_0,action_right_rot6d_1,action_right_rot6d_2,action_right_rot6d_3,action_right_rot6d_4,action_right_rot6d_5,action_right_grip_cmd,episode_id
245,6,RIGHT_MOVE_TO_RECEIVE,0.5181257128715515,0.0108757298439741,0.5085992217063904,0.9990315437316896,0.0246966332197189,0.0364143103361129,0.0273597426712512,-0.9968421459197998,-0.0745477303862571,0.3492562174797058,-0.3051211535930633,0.4598552584648132,-0.0226369034498929,0.2702670693397522,0.9625192880630492,0.8274486660957336,-0.5352669954299927,0.1697585880756378,0.5217017531394958,0.025157993659377,0.2372220903635025,0.9995510578155518,-0.0274450313299894,0.0120189636945724,0.0267111230641603,0.99798983335495,0.0574700534343719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4671516418457031,-0.0049742762930691,0.0015123570337891,-1.012440800666809,-0.0013866198714822,0.9993249773979188,0.0077584171667695,1,0.4133026301860809,-0.1502542495727539,0.1968887895345688,-0.0084095196798443,-0.0139954984188079,0.9998667240142822,0.8571821451187134,-0.5150134563446045,6.258487701416016e-07,0,dagger_round3_round1_rollout_phase4_zonly_ori_fixed_ep000_1776846505
246,6,RIGHT_MOVE_TO_RECEIVE,0.5172533392906189,0.0097867958247661,0.5084869265556335,0.9990113973617554,0.025397190824151,0.0364859774708747,0.0280600693076849,-0.9968316555023192,-0.0744289010763168,0.3537763953208923,-0.2957923412322998,0.4492936134338379,-0.0231807939708232,0.2475621402263641,0.9685947895050048,0.8282737731933594,-0.5377979874610901,0.1572776436805725,0.5205857753753662,0.023970479145646,0.2371644526720047,0.9996162056922911,-0.0268129631876945,0.0069661857560276,0.0263602398335933,0.997938871383667,0.0585076883435249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4671516418457031,0.0012689388822764,-0.0015219416236504,-1.0075596570968628,-0.0023297208826988,1.0014290809631348,0.0008315154118463,1,0.4133026301860809,-0.1502542495727539,0.1968887895345688,-0.0084095196798443,-0.0139954984188079,0.9998667240142822,0.8571821451187134,-0.5150134563446045,6.258487701416016e-07,0,dagger_round3_round1_rollout_phase4_zonly_ori_fixed_ep000_1776846505
247,6,RIGHT_MOVE_TO_RECEIVE,0.5178402066230774,0.0109870433807373,0.509070634841919,0.9990899562835692,0.0257660169154405,0.0339911505579948,0.0281887743622064,-0.996945321559906,-0.0728368610143661,0.360164076089859,-0.2834149897098541,0.4336469769477844,-0.016984075307846,0.2356995940208435,0.9716776013374328,0.8306146264076233,-0.5376547574996948,0.1449371576309204,0.5203180909156799,0.0234797354787588,0.2376501709222793,0.9996817111968994,-0.025184528902173,0.0014752156566828,0.0250698197633028,0.9982575178146362,0.0534179247915744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4671516418457031,0.0018781858962029,-0.0018547814106568,-1.0071953535079956,-0.002853478770703,1.0016003847122192,-7.549254223704338e-05,1,0.4133026301860809,-0.1502542495727539,0.1968887895345688,-0.0084095196798443,-0.0139954984188079,0.9998667240142822,0.8571821451187134,-0.5150134563446045,6.258487701416016e-07,0,dagger_round3_round1_rollout_phase4_zonly_ori_fixed_ep000_1776846505
248,6,RIGHT_MOVE_TO_RECEIVE,0.5187160968780518,0.0127377519384026,0.5105760097503662,0.9990837574005128,0.0270983893424272,0.0331262797117233,0.0294056255370378,-0.9970235228538512,-0.0712712854146957,0.3661360144615173,-0.2713193595409393,0.418130874633789,-0.0119644831866025,0.2238366901874542,0.9745532274246216,0.8328748941421509,-0.5370979309082031,0.1335864663124084,0.5213410258293152,0.0246513895690441,0.2392383217811584,0.9996381402015686,-0.0259324219077825,0.007150403689593,0.0255130175501108,0.998238742351532,0.0535584278404712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4671516418457031,0.0023320806212723,-0.001843801815994,-1.0065977573394775,-0.0033339764922857,1.0016298294067385,-0.0008159030112437,1,0.4133026301860809,-0.1502542495727539,0.1968887895345688,-0.0084095196798443,-0.0139954984188079,0.9998667240142822,0.8571821451187134,-0.5150134563446045,6.258487701416016e-07,0,dagger_round3_round1_rollout_phase4_zonly_ori_fixed_ep000_1776846505
249,6,RIGHT_MOVE_TO_RECEIVE,0.519767165184021,0.0146066201850771,0.512820303440094,0.9991451501846312,0.0261588525027036,0.0320110768079757,0.0283454041928052,-0.997152864933014,-0.0698756948113441,0.3717908263206482,-0.2597482204437256,0.4028561115264892,-0.0080240247771143,0.2117863297462463,0.9772831201553344,0.8348478674888611,-0.5365343689918518,0.1231264770030975,0.5223814249038696,0.0273593515157699,0.2415049970149994,0.9995983242988586,-0.0260546989738941,0.0111520569771528,0.0254237316548824,0.9982492923736572,0.0534040816128253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4671516418457031,0.0026291944086551,-0.0015130072133615,-1.0063501596450806,-0.0039299018681049,1.0015623569488523,-0.001370531739667,1,0.4133026301860809,-0.1502542495727539,0.1968887895345688,-0.0084095196798443,-0.0139954984188079,0.9998667240142822,0.8571821451187134,-0.5150134563446045,6.258487701416016e-07,0,dagger_round3_round1_rollout_phase4_zonly_ori_fixed_ep000_1776846505
250,6,RIGHT_MOVE_TO_RECEIVE,0.5208426117897034,0.0165835209190845,0.5155577063560486,0.9991467595100404,0.0251103602349758,0.0327906534075737,0.0273549742996692,-0.9971787929534912,-0.0699015259742736,0.3771556615829468,-0.2486821860074997,0.3877968192100525,-0.005073944106698,0.1995567083358764,0.9798731803894044,0.8365782499313354,-0.535964846611023,0.1134841740131378,0.5230520963668823,0.0303826611489057,0.2440662831068039,0.9996381402015686,-0.0268892869353294,0.0007210128242149,0.0268080160021781,0.9981030225753784,0.0554232746362686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4671516418457031,0.0027548314537853,-0.0008568988414481,-1.0062187910079956,-0.0044447551481425,1.001379132270813,-0.0022881608456373,1,0.4133026301860809,-0.1502542495727539,0.1968887895345688,-0.0084095196798443,-0.0139954984188079,0.9998667240142822,0.8571821451187134,-0.5150134563446045,6.258487701416016e-07,0,dagger_round3_round1_rollout_phase4_zonly_ori_fixed_ep000_1776846505
251,6,RIGHT_MOVE_TO_RECEIVE,0.5215786695480347,0.0188789721578359,0.5185383558273315,0.9991973638534546,0.0244600065052509,0.0317226201295852,0.0266238078474998,-0.9972137808799744,-0.0696848705410957,0.3822503685951233,-0.238101527094841,0.3729336857795715,-0.0030453274957835,0.1871432065963745,0.9823280572891236,0.8381043672561646,-0.5353890657424927,0.1045949757099151,0.5239890217781067,0.0330961346626281,0.2471611499786377,0.9995613098144532,-0.0281045474112033,0.009344158694148,0.0275783464312553,0.9982484579086304,0.052339781075716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4671516418457031,0.0024337116628885,-0.000566730974242,-1.0058242082595823,-0.0050861784256994,1.0010194778442385,-0.0028539367485791,1,0.4133026301860809,-0.1502542495727539,0.1968887895345688,-0.0084095196798443,-0.0139954984188079,0.9998667240142822,0.8571821451187134,-0.5150134563446045,6.258487701416016e-07,0,dagger_round3_round1_rollout_phase4_zonly_ori_fixed_ep000_1776846505
252,6,RIGHT_MOVE_TO_RECEIVE,0.5223177075386047,0.0216806754469871,0.5213145613670349,0.9991480112075806,0.0247630830854177,0.0330153107643127,0.0270339008420705,-0.9971659779548644,-0.0702087581157684,0.3869113624095917,-0.2281903624534607,0.358915776014328,-0.0027119053993374,0.1732906699180603,0.984866976737976,0.8394202589988708,-0.5348610877990723,0.0964220166206359,0.5247687697410583,0.0357043743133544,0.2498775273561477,0.9996206760406494,-0.0272075142711401,0.0042777108028531,0.0269227307289838,0.9980398416519164,0.0564945302903652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4671516418457031,0.0019086205866187,-0.0001849918626248,-1.0056084394454956,-0.0062601887620985,1.0007649660110474,-0.0036584734916687,1,0.4133026301860809,-0.1502542495727539,0.1968887895345688,-0.0084095196798443,-0.0139954984188079,0.9998667240142822,0.8571821451187134,-0.5150134563446045,6.258487701416016e-07,0,dagger_round3_round1_rollout_phase4_zonly_ori_fixed_ep000_1776846505
253,6,RIGHT_MOVE_TO_RECEIVE,0.5227956175804138,0.0245434902608394,0.523848295211792,0.9991617202758788,0.0248454306274652,0.0325355194509029,0.0270866099745035,-0.9971538782119752,-0.0703596472740173,0.3909741044044494,-0.2192919701337814,0.346085786819458,-0.0034948957618325,0.1587342917919159,0.9873151779174804,0.8405721187591553,-0.5343576073646545,0.0888860523700714,0.5253700017929077,0.03826405107975,0.2524643540382385,0.9995860457420348,-0.0273394659161567,0.0089612891897559,0.026835061609745,0.9982730150222778,0.0522578582167625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4671516418457031,0.0015687285922467,0.0002205980126745,-1.0049206018447876,-0.0075039328075945,1.0003072023391724,-0.004651672206819,1,0.4133026301860809,-0.1502542495727539,0.1968887895345688,-0.0084095196798443,-0.0139954984188079,0.9998667240142822,0.8571821451187134,-0.5150134563446045,6.258487701416016e-07,0,dagger_round3_round1_rollout_phase4_zonly_ori_fixed_ep000_1776846505
254,6,RIGHT_MOVE_TO_RECEIVE,0.5233959555625916,0.0276669096201658,0.5258395075798035,0.9991070032119752,0.025532629340887,0.0336642451584339,0.027870737016201,-0.9970927238464355,-0.0709195509552955,0.3943938016891479,-0.2115012109279632,0.3341869711875915,-0.0042076697573065,0.1452087461948394,0.9893922209739684,0.8416786193847656,-0.5337300896644592,0.0819125473499298,0.5259644389152527,0.0409495085477829,0.2544328272342682,0.9996389150619508,-0.0265944860875606,0.0038410674314945,0.0263376869261264,0.998080849647522,0.0560440085828304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4671516418457031,0.0018091007368639,0.0006359934341162,-1.0041732788085938,-0.008478857576847,0.9998436570167542,-0.0051637589931488,1,0.4133026301860809,-0.1502542495727539,0.1968887895345688,-0.0084095196798443,-0.0139954984188079,0.9998667240142822,0.8571821451187134,-0.5150134563446045,6.258487701416016e-07,0,dagger_round3_round1_rollout_phase4_zonly_ori_fixed_ep000_1776846505
