step,phase,phase_name,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z,obj_x,obj_y,obj_z,left_grasped,right_grasped,action_left_dx,action_left_dy,action_left_dz,action_right_dx,action_right_dy,action_right_dz,action_left_gripper,action_right_gripper
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.44269227981567383,-0.3036159574985504,0.6764086484909058,0.5116735100746155,0.19772125780582428,0.06999996304512024,0.0,0.0,0.008410044091792884,-0.012913959260230534,-0.0127475807351515,-0.007953227960594403,-8.959371789820396e-05,-0.01835042609784668,0.0,0.0
1,0,LEFT_APPROACH_PRE,0.44648489356040955,0.30372917652130127,0.6714247465133667,0.42923420667648315,-0.308398574590683,0.6610144376754761,0.5116735100746155,0.19772125780582428,0.06999996304512024,0.0,0.0,0.008120990149101627,-0.013206128763716733,-0.012635176376858688,-0.007417938874290639,0.00034674717892613563,-0.01857024365083007,0.0,0.0
2,0,LEFT_APPROACH_PRE,0.4530346989631653,0.30463626980781555,0.6667505502700806,0.41494783759117126,-0.31524011492729187,0.646248996257782,0.5116735100746155,0.19772125780582428,0.06999996304512024,0.0,0.0,0.007534221614018211,-0.013737000785323352,-0.012431022246576766,-0.006666711285669635,0.0010754152546410807,-0.01882547323876907,0.0,0.0
3,0,LEFT_APPROACH_PRE,0.4607676565647125,0.3040459156036377,0.6617529988288879,0.4017949104309082,-0.32217642664909363,0.6323266625404358,0.5116735100746155,0.19772125780582428,0.06999996304512024,0.0,0.0,0.006815530705917651,-0.014235277871850485,-0.012284356112873705,-0.0058259775332853685,0.001947033058071713,-0.019033314163656053,0.0,0.0
4,0,LEFT_APPROACH_PRE,0.46969085931777954,0.30356109142303467,0.656873345375061,0.3903171420097351,-0.32836881279945374,0.6187060475349426,0.5116735100746155,0.19772125780582428,0.06999996304512024,0.0,0.0,0.005862732847121176,-0.014780168900612432,-0.012131569182618363,-0.004974829133182379,0.00288191102748217,-0.019155825848167354,0.0,0.0
5,0,LEFT_APPROACH_PRE,0.4789141118526459,0.30298951268196106,0.6520544290542603,0.38037794828414917,-0.3337540328502655,0.6054415702819824,0.5116735100746155,0.19772125780582428,0.06999996304512024,0.0,0.0,0.004767365544239286,-0.015319336692275807,-0.011941111718608627,-0.004118907366410734,0.0038677835715595333,-0.019185276968303102,0.0,0.0
6,0,LEFT_APPROACH_PRE,0.48773422837257385,0.3020021319389343,0.6473615169525146,0.371837317943573,-0.33832892775535583,0.5926260352134705,0.5116735100746155,0.19772125780582428,0.06999996304512024,0.0,0.0,0.003626289899983903,-0.015796325275630112,-0.011718623184818429,-0.003262143150648184,0.004894588404071995,-0.019115476097115735,0.0,0.0
7,0,LEFT_APPROACH_PRE,0.4957067668437958,0.30047157406806946,0.6429066061973572,0.36456555128097534,-0.34210190176963806,0.5803331732749939,0.5116735100746155,0.19772125780582428,0.06999996304512024,0.0,0.0,0.0025145301482337574,-0.016181682403663522,-0.011481737356366843,-0.002410119756850678,0.005950082032676087,-0.018941695979031635,0.0,0.0
8,0,LEFT_APPROACH_PRE,0.5025798678398132,0.29838812351226807,0.6387854218482971,0.3584460914134979,-0.34509190917015076,0.568619430065155,0.5116735100746155,0.19772125780582428,0.06999996304512024,0.0,0.0,0.0014875686573998799,-0.016467425306274444,-0.011252157271909844,-0.0015705731746691973,0.007020298181562413,-0.018661423132895334,0.0,0.0
9,0,LEFT_APPROACH_PRE,0.5082217454910278,0.2957669198513031,0.6350608468055725,0.35337236523628235,-0.34732282161712646,0.5575270056724548,0.5116735100746155,0.19772125780582428,0.06999996304512024,0.0,0.0,0.0005864409014356105,-0.01665756312153837,-0.011053582130743332,-0.0007529194649529964,0.008089559122541484,-0.018275451991187543,0.0,0.0
