step,phase,phase_name,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z,obj_x,obj_y,obj_z,left_grasped,right_grasped,action_left_dx,action_left_dy,action_left_dz,action_right_dx,action_right_dy,action_right_dz,action_left_gripper,action_right_gripper
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.44269227981567383,-0.3036159574985504,0.6764086484909058,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.012987232999242216,-0.00995945520632607,-0.011495261241771694,-0.007953227960594403,-8.959371789820396e-05,-0.01835042609784668,0.0,0.0
1,0,LEFT_APPROACH_PRE,0.44714611768722534,0.30279409885406494,0.6707401275634766,0.42923420667648315,-0.308398574590683,0.6610144376754761,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.012863498820293225,-0.010192429465216904,-0.011429994737395689,-0.007417938874290639,0.00034674717892613563,-0.01857024365083007,0.0,0.0
2,0,LEFT_APPROACH_PRE,0.45399558544158936,0.30332496762275696,0.6662414073944092,0.41494783759117126,-0.31524011492729187,0.646248996257782,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.012559430487277944,-0.010653962022364911,-0.011346973123315285,-0.006666711285669635,0.0010754152546410807,-0.01882547323876907,0.0,0.0
3,0,LEFT_APPROACH_PRE,0.4617093503475189,0.30348071455955505,0.6620321273803711,0.4017949104309082,-0.32217642664909363,0.6323266625404358,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.012156543424891132,-0.011136387856536934,-0.011322513743313055,-0.0058259775332853685,0.001947033058071713,-0.019033314163656053,0.0,0.0
4,0,LEFT_APPROACH_PRE,0.4703681170940399,0.30440059304237366,0.6580630540847778,0.3903171420097351,-0.32836881279945374,0.6187060475349426,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.011580001511441531,-0.011745259427088706,-0.011311606693365702,-0.004974829133182379,0.00288191102748217,-0.019155825848167354,0.0,0.0
5,0,LEFT_APPROACH_PRE,0.4793790578842163,0.30539315938949585,0.6542105674743652,0.38037794828414917,-0.3337540328502655,0.6054415702819824,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.010887080759557789,-0.012401911299905328,-0.011298852536613935,-0.004118907366410734,0.0038677835715595333,-0.019185276968303102,0.0,0.0
6,0,LEFT_APPROACH_PRE,0.48823362588882446,0.3058958053588867,0.650451123714447,0.371837317943573,-0.33832892775535583,0.5926260352134705,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.010138479840463718,-0.013034321343605675,-0.011283514241411505,-0.003262143150648184,0.004894588404071995,-0.019115476097115735,0.0,0.0
7,0,LEFT_APPROACH_PRE,0.49658381938934326,0.305655837059021,0.6468153595924377,0.36456555128097534,-0.34210190176963806,0.5803331732749939,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.009381009684871898,-0.01360039314138829,-0.011270579563270829,-0.002410119756850678,0.005950082032676087,-0.018941695979031635,0.0,0.0
8,0,LEFT_APPROACH_PRE,0.5041956901550293,0.30460119247436523,0.6433423757553101,0.3584460914134979,-0.34509190917015076,0.568619430065155,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.008652737149006938,-0.014077836637307274,-0.011266971884383326,-0.0015705731746691973,0.007020298181562413,-0.018661423132895334,0.0,0.0
9,0,LEFT_APPROACH_PRE,0.5109288692474365,0.3027530014514923,0.6400641202926636,0.35337236523628235,-0.34732282161712646,0.5575270056724548,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.007984455474481315,-0.014456740986481644,-0.011280563409059282,-0.0007529194649529964,0.008089559122541484,-0.018275451991187543,0.0,0.0
10,0,LEFT_APPROACH_PRE,0.5167309045791626,0.3001798987388611,0.6369937062263489,0.34924888610839844,-0.348823219537735,0.5470868945121765,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.007398458763249286,-0.014735890755224738,-0.011318848509392727,3.1749627437656766e-05,0.009141381606365566,-0.01778859562438696,0.0,0.0
11,0,LEFT_APPROACH_PRE,0.521632730960846,0.2969808578491211,0.6341283917427063,0.3459838032722473,-0.349631667137146,0.5373251438140869,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.006905858062105741,-0.014920439800713727,-0.011388134200971064,0.0007724210828639512,0.010160100888813623,-0.01720975640733697,0.0,0.0
12,0,LEFT_APPROACH_PRE,0.5257400274276733,0.293281227350235,0.6314495205879211,0.3434986472129822,-0.34978315234184265,0.5282573699951172,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.0065044732979918545,-0.01502090867493451,-0.011491915840928705,0.0014564342496523818,0.011130305339289359,-0.016552797417072024,0.0,0.0
13,0,LEFT_APPROACH_PRE,0.5292057394981384,0.28922945261001587,0.628931999206543,0.3417178690433502,-0.3493186831474304,0.5198955535888672,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.006179996802800395,-0.015051446268259848,-0.011630202266128636,0.0020718419990139593,0.012038900985067186,-0.015835792806262343,0.0,0.0
14,0,LEFT_APPROACH_PRE,0.5321894288063049,0.2849712371826172,0.626551628112793,0.34057390689849854,-0.3482779562473297,0.5122474431991577,0.5605207681655884,0.2129613757133484,0.06999991089105606,0.0,0.0,0.005911934137799272,-0.015026383076339451,-0.011800713808639833,0.00260626476462733,0.012874673436159672,-0.015081451120131198,0.0,0.0
