step,phase,phase_name,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z,obj_x,obj_y,obj_z,left_grasped,right_grasped,action_left_dx,action_left_dy,action_left_dz,action_right_dx,action_right_dy,action_right_dz,action_left_gripper,action_right_gripper
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.44269227981567383,-0.3036159574985504,0.6764086484909058,0.5402170419692993,0.2067067176103592,0.06999997794628143,0.0,0.0,0.011307123820912344,-0.011212447540425836,-0.012100825221932397,-0.007953227960594403,-8.959371789820396e-05,-0.01835042609784668,0.0,0.0
1,0,LEFT_APPROACH_PRE,0.4468563199043274,0.3032934367656708,0.6710607409477234,0.42923420667648315,-0.308398574590683,0.6610144376754761,0.5402170419692993,0.2067067176103592,0.06999997794628143,0.0,0.0,0.01110758566806779,-0.011491398456286675,-0.01202369752386458,-0.007417938874290639,0.00034674717892613563,-0.01857024365083007,0.0,0.0
2,0,LEFT_APPROACH_PRE,0.45365801453590393,0.3041161894798279,0.6664546728134155,0.41494783759117126,-0.31524011492729187,0.646248996257782,0.5402170419692993,0.2067067176103592,0.06999997794628143,0.0,0.0,0.010678047646814758,-0.01201657426977917,-0.011898791588696523,-0.006666711285669635,0.0010754152546410807,-0.01882547323876907,0.0,0.0
3,0,LEFT_APPROACH_PRE,0.461436927318573,0.30406129360198975,0.6619361639022827,0.4017949104309082,-0.32217642664909363,0.6323266625404358,0.5402170419692993,0.2067067176103592,0.06999997794628143,0.0,0.0,0.010141673322406205,-0.012532836624138935,-0.011835306011009438,-0.0058259775332853685,0.001947033058071713,-0.019033314163656053,0.0,0.0
4,0,LEFT_APPROACH_PRE,0.4702536165714264,0.30444392561912537,0.6576611995697021,0.3903171420097351,-0.32836881279945374,0.6187060475349426,0.5402170419692993,0.2067067176103592,0.06999997794628143,0.0,0.0,0.009405705824123664,-0.013139542859340714,-0.011784952753303456,-0.004974829133182379,0.00288191102748217,-0.019155825848167354,0.0,0.0
5,0,LEFT_APPROACH_PRE,0.479378342628479,0.30477041006088257,0.6534993648529053,0.38037794828414917,-0.3337540328502655,0.6054415702819824,0.5402170419692993,0.2067067176103592,0.06999997794628143,0.0,0.0,0.00854218706461005,-0.013768841448533574,-0.011723909131273262,-0.004118907366410734,0.0038677835715595333,-0.019185276968303102,0.0,0.0
6,0,LEFT_APPROACH_PRE,0.4882280230522156,0.30459463596343994,0.6494386196136475,0.371837317943573,-0.33832892775535583,0.5926260352134705,0.5402170419692993,0.2067067176103592,0.06999997794628143,0.0,0.0,0.007624982479792192,-0.014356756060659228,-0.011650888275045236,-0.003262143150648184,0.004894588404071995,-0.019115476097115735,0.0,0.0
7,0,LEFT_APPROACH_PRE,0.4964194595813751,0.3037340044975281,0.6455302238464355,0.36456555128097534,-0.34210190176963806,0.5803331732749939,0.5402170419692993,0.2067067176103592,0.06999997794628143,0.0,0.0,0.006710876247025075,-0.014866987613999445,-0.011573107589679697,-0.002410119756850678,0.005950082032676087,-0.018941695979031635,0.0,0.0
8,0,LEFT_APPROACH_PRE,0.5037086606025696,0.3021503984928131,0.6418328881263733,0.3584460914134979,-0.34509190917015076,0.568619430065155,0.5402170419692993,0.2067067176103592,0.06999997794628143,0.0,0.0,0.005845584092855419,-0.015282081589036985,-0.011501614187555265,-0.0015705731746691973,0.007020298181562413,-0.018661423132895334,0.0,0.0
9,0,LEFT_APPROACH_PRE,0.5099626183509827,0.2998715043067932,0.638390064239502,0.35337236523628235,-0.34732282161712646,0.5575270056724548,0.5402170419692993,0.2067067176103592,0.06999997794628143,0.0,0.0,0.005064927605817123,-0.015596823326792814,-0.011449262441775153,-0.0007529194649529964,0.008089559122541484,-0.018275451991187543,0.0,0.0
