epoch,train_loss,val_loss
0,0.3321239107423514,0.03258580617882587
1,0.01825151467578337,0.009992352939662595
2,0.007342770683392008,0.005258666275083183
3,0.004407353092895986,0.0036985728523336652
4,0.003255095872781078,0.003199190085456418
5,0.0026811782400656516,0.0026410610010832044
6,0.0021696869380046927,0.0027161906049705717
7,0.00185250684627857,0.0021150405575222904
8,0.0017689713746473013,0.002110986431530807
9,0.0014616833669705727,0.002138305702886361
10,0.0012981445624654394,0.0017431226526917834
11,0.001246466792926388,0.0016402710414267555
12,0.001169875524512823,0.001712175900503693
13,0.0010591475195680274,0.0014917007525848658
14,0.0011681054294637966,0.0026039959985815746
15,0.001000680301256496,0.0014335755168169628
16,0.0008200314574906946,0.0013881282702490891
17,0.0008299909723564246,0.0015638422759947043
18,0.0008306709076187765,0.0017092572804565513
19,0.0008597345815347852,0.0013638331449089297
20,0.0007929425586957276,0.0013636507049575649
21,0.0007789064633846011,0.0013362020515347505
22,0.0007434978982239154,0.0012306850766900395
23,0.0007769882556884593,0.0016738187646609187
24,0.0007311704108145722,0.0011248173324131037
25,0.0006928573628775057,0.0013462504809782583
26,0.0006301641179192165,0.001143576705850328
27,0.0006526565144106598,0.001248223277502745
28,0.0006062474746235167,0.0012566509974918823
29,0.0006611569960927374,0.0012057594796858664
30,0.0005650479387962317,0.0012747506992486217
31,0.0005398085738631137,0.0012020088480407065
32,0.0005985135041387746,0.0014223713766939533
33,0.0005513304583091732,0.0012997921822637492
34,0.0004974472817811674,0.00112445368608999
35,0.0005673673046028126,0.0013704766093306873
36,0.0005288517815356802,0.001121439993571884
37,0.00045431186322472504,0.0012361283204928497
38,0.00044262171156486283,0.0012720618070063377
39,0.00049210759693205,0.0010117320289851409
40,0.00042738250452122094,0.0009699549262419595
41,0.0004262137414580512,0.0010094746265540966
42,0.0004909815612838057,0.0012261212634053973
43,0.00043291032358486653,0.0010589329805124669
44,0.0005733135463543906,0.0011267040679571196
45,0.00039674708177534493,0.0012056411747813642
46,0.0004657111891075411,0.0010354013641186378
47,0.0003783951760434537,0.0010705889071294678
48,0.0003043124651915409,0.0013965373674704983
49,0.0005423300005224212,0.0011268873407740878
50,0.00038392443540171284,0.0011441213078294532
51,0.0003104840641525618,0.0011889181230103356
52,0.0003229741503715236,0.0012272506289543092
53,0.0003312034860071303,0.00120414859376324
54,0.00037792822952962646,0.0010685764202236572
55,0.00034317929621200413,0.000959864705288632
56,0.00035327090805261345,0.00105746847078243
57,0.0002783482283418924,0.0010171745384211796
58,0.00033725775981698953,0.0010122785731347687
59,0.0003061261752668764,0.0010395437442683854
60,0.0002390497337678148,0.0009650566380491754
61,0.00041148550536892537,0.0013213412551874417
62,0.0002949523584558412,0.0009597269057154559
63,0.0002982673449250386,0.00096275168805926
64,0.0002481568150386429,0.0009615963610982223
65,0.0002523523438472155,0.0011053130080697724
66,0.00031058825100431747,0.001026705860340126
67,0.00024067282208728062,0.0008835013056574446
68,0.00030467487369001785,0.0009616585467221716
69,0.00022302164154973362,0.0010062934117390366
70,0.00030183180376227225,0.0010940924583469089
71,0.00019929214636362413,0.0010443683950188954
72,0.000248753891660961,0.0011186860754606386
73,0.00022648213918202676,0.0009411139332001821
74,0.0003214913872554319,0.0009136026108477375
75,0.00024651977020539203,0.001007319112646225
76,0.00024136775294173986,0.0011207400143839062
77,0.0002005944308069596,0.000950743473692188
78,0.00033624874119431717,0.0009043691315017078
79,0.00018476417692026557,0.0009476339528198143
80,0.00021584339408732095,0.0009429919961794704
81,0.00020031374087935345,0.0009366566454606577
82,0.00021325263498388327,0.0010262987971718094
83,0.0002125864669388865,0.0011000526596864713
84,0.00020321357539216463,0.0009853288360552562
85,0.00018989365533943336,0.0012375391669874809
86,0.00024131440047948563,0.0009311402973148627
87,0.00017200439964865625,0.0009839781237255777
88,0.00023801597446981555,0.0008942618747295378
89,0.00016056093789600134,0.0010590051900774926
90,0.00020067435008612965,0.000908297342057375
91,0.00018675833765607452,0.0009879201132757605
92,0.00015958888884380902,0.0008460487713263709
93,0.0001447519219283638,0.0010476444351159677
94,0.00020252861762725267,0.0010000037739179956
95,0.00019564951379714076,0.0009248969017652575
96,0.00014151603361615067,0.0010063285135748772
97,0.00019203160732494614,0.0009444455934696152
98,0.00018916979520301278,0.0010251890257113446
99,0.00017153431013844112,0.0008804746031096753
100,0.0001878168979451094,0.0010595373538162336
101,0.0001835991158087724,0.0009580358503040105
102,0.00014016963785019738,0.0011208849363896361
103,0.00018009617575294185,0.0009205240152387102
104,0.00015167888849852885,0.001011407093226331
105,0.00023152549381224525,0.0010708173452400969
106,0.00012434891715934474,0.0009046963576095314
107,0.0002155288031946056,0.0009573478326124414
108,0.00012882522121545847,0.0009416949562736777
109,0.00017285894298171777,0.0009148403400773265
110,0.00013384245752043504,0.0009110511091970783
111,0.00019534091867097673,0.000891751661985116
112,0.00011033021544675643,0.0009265995033705558
113,0.0001173486531802324,0.0009405367737465178
114,0.00013021627873835786,0.0009138851324359209
115,0.0002453770708234347,0.0008762176254710953
116,0.0001796118973205797,0.0012064870776449849
117,0.00011515545018133479,0.0009941006301723405
118,0.0001354383251041703,0.0011044305644208395
119,0.00016921520622937062,0.0010711370724283832
120,0.0001166319180973426,0.0010032494103809613
121,0.00011802555605486549,0.0009127200492241623
122,0.00017893676646407746,0.001159623467915312
