step,phase,phase_name,left_pos_x,left_pos_y,left_pos_z,left_rot6d_0,left_rot6d_1,left_rot6d_2,left_rot6d_3,left_rot6d_4,left_rot6d_5,right_pos_x,right_pos_y,right_pos_z,right_rot6d_0,right_rot6d_1,right_rot6d_2,right_rot6d_3,right_rot6d_4,right_rot6d_5,obj_pos_x,obj_pos_y,obj_pos_z,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,left_grip_state,right_grip_state,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9,phase_10,phase_11,action_left_pos_x,action_left_pos_y,action_left_pos_z,action_left_rot6d_0,action_left_rot6d_1,action_left_rot6d_2,action_left_rot6d_3,action_left_rot6d_4,action_left_rot6d_5,action_left_grip_cmd,action_right_pos_x,action_right_pos_y,action_right_pos_z,action_right_rot6d_0,action_right_rot6d_1,action_right_rot6d_2,action_right_rot6d_3,action_right_rot6d_4,action_right_rot6d_5,action_right_grip_cmd
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.706971287727356,-0.7072420716285706,0.0005701186018995941,-0.7072420716285706,-0.7069703340530396,0.0013182044494897127,0.44269227981567383,-0.3036159574985504,0.6764086484909058,0.7071073651313782,0.7071061730384827,0.00030255079036578536,0.7071061730384827,-0.7071076035499573,0.00015628796245437115,0.5340973138809204,0.21582210063934326,0.06999997794628143,1.0,-8.887764124665409e-08,-1.6041897765717295e-07,8.887764124665409e-08,1.0,-1.0830405905437601e-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340973138809204,0.21582210063934326,0.5699999928474426,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
1,0,LEFT_APPROACH_PRE,0.4465876817703247,0.3040023446083069,0.6714657545089722,0.7180411219596863,-0.6959989666938782,-0.0015325939748436213,-0.6959959864616394,-0.7180426716804504,0.0020714765414595604,0.42923420667648315,-0.308398574590683,0.6610144376754761,0.6869154572486877,0.7259960770606995,0.032815635204315186,0.7263447642326355,-0.6873282790184021,0.0018311897292733192,0.5340973138809204,0.21582210063934326,0.06999997794628143,1.0,-8.887764124665409e-08,-1.6041897765717295e-07,8.887764124665409e-08,1.0,-1.0830405905437601e-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340973138809204,0.21582210063934326,0.5699999928474426,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
2,0,LEFT_APPROACH_PRE,0.4532054662704468,0.30557650327682495,0.6671085953712463,0.7397287487983704,-0.6728969812393188,-0.003320651827380061,-0.6728917360305786,-0.7397362589836121,0.0026822970248758793,0.41494783759117126,-0.31524011492729187,0.646248996257782,0.6666613221168518,0.7422438859939575,0.0680932104587555,0.7438328266143799,-0.6683590412139893,0.0029499437659978867,0.5340973138809204,0.21582210063934326,0.06999997794628143,1.0,-8.887764124665409e-08,-1.6041897765717295e-07,8.887764124665409e-08,1.0,-1.0830405905437601e-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340973138809204,0.21582210063934326,0.5699999928474426,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
3,0,LEFT_APPROACH_PRE,0.46082767844200134,0.30586937069892883,0.662631630897522,0.767423152923584,-0.641128659248352,-0.003958631306886673,-0.6411237716674805,-0.7674331068992615,0.002573937876150012,0.4017949104309082,-0.32217642664909363,0.6323266625404358,0.6466454267501831,0.7553876042366028,0.10601557791233063,0.75931316614151,-0.6507062911987305,0.004989989101886749,0.5340973138809204,0.21582210063934326,0.06999997794628143,1.0,-8.887764124665409e-08,-1.6041897765717295e-07,8.887764124665409e-08,1.0,-1.0830405905437601e-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340973138809204,0.21582210063934326,0.5699999928474426,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
4,0,LEFT_APPROACH_PRE,0.4694092273712158,0.30638352036476135,0.658397912979126,0.7959657907485962,-0.6053281426429749,-0.004042373970150948,-0.6053211092948914,-0.7959761023521423,0.002924723085016012,0.3903171420097351,-0.32836881279945374,0.6187060475349426,0.6267420053482056,0.7656311392784119,0.14492523670196533,0.773044764995575,-0.6343023777008057,0.007880385965108871,0.5340973138809204,0.21582210063934326,0.06999997794628143,1.0,-8.887764124665409e-08,-1.6041897765717295e-07,8.887764124665409e-08,1.0,-1.0830405905437601e-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340973138809204,0.21582210063934326,0.5699999928474426,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
5,0,LEFT_APPROACH_PRE,0.4782249331474304,0.3068101704120636,0.6542620062828064,0.8231176733970642,-0.5678576231002808,-0.0038731798995286226,-0.5678493976593018,-0.8231269121170044,0.00306547898799181,0.38037794828414917,-0.3337540328502655,0.6054415702819824,0.606847882270813,0.7730958461761475,0.18454937636852264,0.7852135896682739,-0.6191172003746033,0.0115509033203125,0.5340973138809204,0.21582210063934326,0.06999997794628143,1.0,-8.887764124665409e-08,-1.6041897765717295e-07,8.887764124665409e-08,1.0,-1.0830405905437601e-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340973138809204,0.21582210063934326,0.5699999928474426,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
6,0,LEFT_APPROACH_PRE,0.4866997003555298,0.3067435920238495,0.6502049565315247,0.8478731513023376,-0.5301871299743652,-0.003571926848962903,-0.5301787853240967,-0.8478803038597107,0.003050622995942831,0.371837317943573,-0.33832892775535583,0.5926260352134705,0.5868940949440002,0.7778542041778564,0.22471801936626434,0.7959538698196411,-0.6051483154296875,0.015915073454380035,0.5340973138809204,0.21582210063934326,0.06999997794628143,1.0,-8.887764124665409e-08,-1.6041897765717295e-07,8.887764124665409e-08,1.0,-1.0830405905437601e-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340973138809204,0.21582210063934326,0.5699999928474426,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
7,0,LEFT_APPROACH_PRE,0.4944673478603363,0.3060072362422943,0.6462815999984741,0.869904100894928,-0.49321049451828003,-0.0032073783222585917,-0.4932026267051697,-0.8699095249176025,0.0029574523214250803,0.36456555128097534,-0.34210190176963806,0.5803331732749939,0.566810667514801,0.7799761295318604,0.2652602791786194,0.8053872585296631,-0.5923810005187988,0.02088809758424759,0.5340973138809204,0.21582210063934326,0.06999997794628143,1.0,-8.887764124665409e-08,-1.6041897765717295e-07,8.887764124665409e-08,1.0,-1.0830405905437601e-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340973138809204,0.21582210063934326,0.5699999928474426,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
8,0,LEFT_APPROACH_PRE,0.5013076663017273,0.3045586049556732,0.6425559520721436,0.8892266154289246,-0.4574582576751709,-0.002817688509821892,-0.4574511647224426,-0.8892301321029663,0.0028230741154402494,0.3584460914134979,-0.34509190917015076,0.568619430065155,0.5465312600135803,0.7795215845108032,0.3060224950313568,0.8136199712753296,-0.5807979702949524,0.02638930082321167,0.5340973138809204,0.21582210063934326,0.06999997794628143,1.0,-8.887764124665409e-08,-1.6041897765717295e-07,8.887764124665409e-08,1.0,-1.0830405905437601e-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340973138809204,0.21582210063934326,0.5699999928474426,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
9,0,LEFT_APPROACH_PRE,0.5071130394935608,0.3024173974990845,0.6390742659568787,0.9060164093971252,-0.4232356548309326,-0.0024254382587969303,-0.42322951555252075,-0.9060186147689819,0.0026684366166591644,0.35337236523628235,-0.34732282161712646,0.5575270056724548,0.5259886980056763,0.7765459418296814,0.34686073660850525,0.8207480311393738,-0.5703744292259216,0.032340630888938904,0.5340973138809204,0.21582210063934326,0.06999997794628143,1.0,-8.887764124665409e-08,-1.6041897765717295e-07,8.887764124665409e-08,1.0,-1.0830405905437601e-08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340973138809204,0.21582210063934326,0.5699999928474426,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
