step,phase,phase_name,left_pos_x,left_pos_y,left_pos_z,left_rot6d_0,left_rot6d_1,left_rot6d_2,left_rot6d_3,left_rot6d_4,left_rot6d_5,right_pos_x,right_pos_y,right_pos_z,right_rot6d_0,right_rot6d_1,right_rot6d_2,right_rot6d_3,right_rot6d_4,right_rot6d_5,obj_pos_x,obj_pos_y,obj_pos_z,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,left_grip_state,right_grip_state,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9,phase_10,phase_11,action_left_pos_x,action_left_pos_y,action_left_pos_z,action_left_rot6d_0,action_left_rot6d_1,action_left_rot6d_2,action_left_rot6d_3,action_left_rot6d_4,action_left_rot6d_5,action_left_grip_cmd,action_right_pos_x,action_right_pos_y,action_right_pos_z,action_right_rot6d_0,action_right_rot6d_1,action_right_rot6d_2,action_right_rot6d_3,action_right_rot6d_4,action_right_rot6d_5,action_right_grip_cmd
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.706971287727356,-0.7072420716285706,0.0005701186018995941,-0.7072420716285706,-0.7069703340530396,0.0013182044494897127,0.44269227981567383,-0.3036159574985504,0.6764086484909058,0.7071073651313782,0.7071061730384827,0.00030255079036578536,0.7071061730384827,-0.7071076035499573,0.00015628796245437115,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
1,0,LEFT_APPROACH_PRE,0.4466845989227295,0.3034166991710663,0.6712011694908142,0.7175614833831787,-0.6964927911758423,-0.001848908024840057,-0.6964898109436035,-0.7175641059875488,0.0020359221380203962,0.42923420667648315,-0.308398574590683,0.6610144376754761,0.6869154572486877,0.7259960770606995,0.032815635204315186,0.7263447642326355,-0.6873282790184021,0.0018311897292733192,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
2,0,LEFT_APPROACH_PRE,0.4534009099006653,0.3041384816169739,0.6664822697639465,0.7385964393615723,-0.6741366386413574,-0.003892860608175397,-0.6741315126419067,-0.7386064529418945,0.0026977895759046078,0.41494783759117126,-0.31524011492729187,0.646248996257782,0.6666613221168518,0.7422438859939575,0.0680932104587555,0.7438328266143799,-0.6683590412139893,0.0029499437659978867,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
3,0,LEFT_APPROACH_PRE,0.46120306849479675,0.30371519923210144,0.6616447567939758,0.7658731937408447,-0.6429749727249146,-0.004635521676391363,-0.6429698467254639,-0.7658867835998535,0.0027134977281093597,0.4017949104309082,-0.32217642664909363,0.6323266625404358,0.6466454267501831,0.7553876042366028,0.10601557791233063,0.75931316614151,-0.6507062911987305,0.004989989101886749,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
4,0,LEFT_APPROACH_PRE,0.4701516330242157,0.3035387098789215,0.6570175290107727,0.7941763401031494,-0.6076687574386597,-0.004754472058266401,-0.6076606512069702,-0.7941905856132507,0.00315726175904274,0.3903171420097351,-0.32836881279945374,0.6187060475349426,0.6267420053482056,0.7656311392784119,0.14492523670196533,0.773044764995575,-0.6343023777008057,0.007880385965108871,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
5,0,LEFT_APPROACH_PRE,0.4794192612171173,0.30327579379081726,0.6524879932403564,0.8212020993232727,-0.5706191062927246,-0.0045762681402266026,-0.5706092119216919,-0.821215033531189,0.003362356685101986,0.38037794828414917,-0.3337540328502655,0.6054415702819824,0.606847882270813,0.7730958461761475,0.18454937636852264,0.7852135896682739,-0.6191172003746033,0.0115509033203125,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
6,0,LEFT_APPROACH_PRE,0.48835259675979614,0.3025525212287903,0.6480767726898193,0.8459031581878662,-0.5333195924758911,-0.004245274234563112,-0.5333091020584106,-0.8459136486053467,0.003404375398531556,0.371837317943573,-0.33832892775535583,0.5926260352134705,0.5868940949440002,0.7778542041778564,0.22471801936626434,0.7959538698196411,-0.6051483154296875,0.015915073454380035,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
7,0,LEFT_APPROACH_PRE,0.49652746319770813,0.3012212812900543,0.643864095211029,0.8679296970367432,-0.4966721534729004,-0.0038427652325481176,-0.4966617822647095,-0.8679376244544983,0.00336232827976346,0.36456555128097534,-0.34210190176963806,0.5803331732749939,0.566810667514801,0.7799761295318604,0.2652602791786194,0.8053872585296631,-0.5923810005187988,0.02088809758424759,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
8,0,LEFT_APPROACH_PRE,0.5036815404891968,0.2992604374885559,0.6399310231208801,0.8872852921485901,-0.4612084627151489,-0.0034121444914489985,-0.46119874715805054,-0.8872909545898438,0.0032744337804615498,0.3584460914134979,-0.34509190917015076,0.568619430065155,0.5465312600135803,0.7795215845108032,0.3060224950313568,0.8136199712753296,-0.5807979702949524,0.02638930082321167,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
9,0,LEFT_APPROACH_PRE,0.5096810460090637,0.29670006036758423,0.6363306045532227,0.9041394591331482,-0.42722710967063904,-0.002981302561238408,-0.42721834778785706,-0.9041431546211243,0.003158451756462455,0.35337236523628235,-0.34732282161712646,0.5575270056724548,0.5259886980056763,0.7765459418296814,0.34686073660850525,0.8207480311393738,-0.5703744292259216,0.032340630888938904,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
10,0,LEFT_APPROACH_PRE,0.5144967436790466,0.2935848534107208,0.6330827474594116,0.9187276363372803,-0.39488351345062256,-0.002563157118856907,-0.3948758840560913,-0.9187295436859131,0.0030247513204813004,0.34924888610839844,-0.348823219537735,0.5470868945121765,0.505113959312439,0.7710949182510376,0.3876500725746155,0.8268566131591797,-0.5610818266868591,0.03867018222808838,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
11,0,LEFT_APPROACH_PRE,0.5181882977485657,0.2899656295776367,0.6301714777946472,0.9312992095947266,-0.3642486035823822,-0.0021677562035620213,-0.3642421066761017,-0.9312999248504639,0.002880494575947523,0.3459838032722473,-0.349631667137146,0.5373251438140869,0.48385927081108093,0.7632283568382263,0.42820873856544495,0.8320221304893494,-0.5528894066810608,0.0453033447265625,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
12,0,LEFT_APPROACH_PRE,0.5208868384361267,0.28590822219848633,0.627556324005127,0.9420914649963379,-0.33535119891166687,-0.0018030167557299137,-0.3353458344936371,-0.942091166973114,0.0027369235176593065,0.3434986472129822,-0.34978315234184265,0.5282573699951172,0.4621638357639313,0.7529876828193665,0.46841663122177124,0.8363130688667297,-0.5457639098167419,0.052175238728523254,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
13,0,LEFT_APPROACH_PRE,0.5227777361869812,0.28150641918182373,0.6251833438873291,0.9513193368911743,-0.30820342898368835,-0.0014766424428671598,-0.30819907784461975,-0.9513183236122131,0.0026093730702996254,0.3417178690433502,-0.3493186831474304,0.5198955535888672,0.4399851858615875,0.7404293417930603,0.5081115961074829,0.8397923111915588,-0.5396684408187866,0.05921947956085205,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
14,0,LEFT_APPROACH_PRE,0.5240705013275146,0.2768823802471161,0.6229984164237976,0.9591760635375977,-0.2828071713447571,-0.0011949024628847837,-0.28280359506607056,-0.959174633026123,0.002509238664060831,0.34057390689849854,-0.3482779562473297,0.5122474431991577,0.4172786772251129,0.7256025075912476,0.5471558570861816,0.8425166606903076,-0.5345652103424072,0.0663752406835556,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
15,0,LEFT_APPROACH_PRE,0.5249528288841248,0.2721604108810425,0.6209597587585449,0.965836226940155,-0.2591514587402344,-0.000955589406657964,-0.2591485381126404,-0.9658343195915222,0.0024383484851568937,0.3399987518787384,-0.3467106521129608,0.5053170919418335,0.3940313458442688,0.7085884809494019,0.5853561162948608,0.8445398807525635,-0.5304136276245117,0.07357874512672424,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
16,0,LEFT_APPROACH_PRE,0.5255625247955322,0.26744207739830017,0.6190410852432251,0.971459686756134,-0.23720353841781616,-0.000753615633584559,-0.23720118403434753,-0.971457839012146,0.0023902643006294966,0.3399311304092407,-0.3446637690067291,0.49910447001457214,0.37023264169692993,0.6894688010215759,0.6225435733795166,0.8459120392799377,-0.5271705389022827,0.08077095448970795,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
17,0,LEFT_APPROACH_PRE,0.5260080099105835,0.2628186047077179,0.6172268390655518,0.9761906862258911,-0.21691341698169708,-0.0005842800019308925,-0.21691150963306427,-0.9761885404586792,0.002362805185839534,0.34031692147254944,-0.34218019247055054,0.4936063587665558,0.34587037563323975,0.6683169007301331,0.6585789918899536,0.8466787934303284,-0.5247942209243774,0.08789792656898499,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
18,0,LEFT_APPROACH_PRE,0.5263754725456238,0.25837257504463196,0.6155098080635071,0.980157196521759,-0.19822119176387787,-0.00044519503717310727,-0.1982196420431137,-0.9801548719406128,0.002356225159019232,0.34110555052757263,-0.33930402994155884,0.4888148605823517,0.32093915343284607,0.64521324634552,0.6933239102363586,0.8468828201293945,-0.5232414603233337,0.09491138160228729,0.5244619846343994,0.1990518569946289,0.06999995559453964,1.0,-2.6822365839507256e-07,-2.273688437526289e-07,2.682237152384914e-07,1.0,3.108499697646039e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5244619846343994,0.1990518569946289,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
