step,phase,phase_name,left_pos_x,left_pos_y,left_pos_z,left_rot6d_0,left_rot6d_1,left_rot6d_2,left_rot6d_3,left_rot6d_4,left_rot6d_5,right_pos_x,right_pos_y,right_pos_z,right_rot6d_0,right_rot6d_1,right_rot6d_2,right_rot6d_3,right_rot6d_4,right_rot6d_5,obj_pos_x,obj_pos_y,obj_pos_z,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,left_grip_state,right_grip_state,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9,phase_10,phase_11,action_left_pos_x,action_left_pos_y,action_left_pos_z,action_left_rot6d_0,action_left_rot6d_1,action_left_rot6d_2,action_left_rot6d_3,action_left_rot6d_4,action_left_rot6d_5,action_left_grip_cmd,action_right_pos_x,action_right_pos_y,action_right_pos_z,action_right_rot6d_0,action_right_rot6d_1,action_right_rot6d_2,action_right_rot6d_3,action_right_rot6d_4,action_right_rot6d_5,action_right_grip_cmd
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,0.706971287727356,-0.7072420716285706,0.0005701186018995941,-0.7072420716285706,-0.7069703340530396,0.0013182044494897127,0.44269227981567383,-0.3036159574985504,0.6764086484909058,0.7071073651313782,0.7071061730384827,0.00030255079036578536,0.7071061730384827,-0.7071076035499573,0.00015628796245437115,0.5591091513633728,0.22216692566871643,0.06999994069337845,1.0,-3.871948308642459e-07,-2.8017657882628555e-07,3.8719488770766475e-07,1.0,2.3242627378294856e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5591091513633728,0.22216692566871643,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
1,0,LEFT_APPROACH_PRE,0.4470275044441223,0.3033079206943512,0.6709555983543396,0.7171108722686768,-0.6969555616378784,-0.0022198434453457594,-0.6969530582427979,-0.7171143293380737,0.001872172113507986,0.42923420667648315,-0.308398574590683,0.6610144376754761,0.6869154572486877,0.7259960770606995,0.032815635204315186,0.7263447642326355,-0.6873282790184021,0.0018311897292733192,0.5591091513633728,0.22216692566871643,0.06999994069337845,1.0,-3.871948308642459e-07,-2.8017657882628555e-07,3.8719488770766475e-07,1.0,2.3242627378294856e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5591091513633728,0.22216692566871643,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
2,0,LEFT_APPROACH_PRE,0.453821063041687,0.3044385313987732,0.6665928363800049,0.7381247878074646,-0.6746524572372437,-0.00398418540135026,-0.674648642539978,-0.7381352186203003,0.0024376579094678164,0.41494783759117126,-0.31524011492729187,0.646248996257782,0.6666613221168518,0.7422438859939575,0.0680932104587555,0.7438328266143799,-0.6683590412139893,0.0029499437659978867,0.5591091513633728,0.22216692566871643,0.06999994069337845,1.0,-3.871948308642459e-07,-2.8017657882628555e-07,3.8719488770766475e-07,1.0,2.3242627378294856e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5591091513633728,0.22216692566871643,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
3,0,LEFT_APPROACH_PRE,0.46145933866500854,0.30495893955230713,0.6624738574028015,0.7654085159301758,-0.6435292363166809,-0.004466008394956589,-0.6435255408287048,-0.7654207944869995,0.002412874484434724,0.4017949104309082,-0.32217642664909363,0.6323266625404358,0.6466454267501831,0.7553876042366028,0.10601557791233063,0.75931316614151,-0.6507062911987305,0.004989989101886749,0.5591091513633728,0.22216692566871643,0.06999994069337845,1.0,-3.871948308642459e-07,-2.8017657882628555e-07,3.8719488770766475e-07,1.0,2.3242627378294856e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5591091513633728,0.22216692566871643,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
4,0,LEFT_APPROACH_PRE,0.4699742794036865,0.30613958835601807,0.658623218536377,0.7937333583831787,-0.6082499623298645,-0.004401818383485079,-0.6082435250282288,-0.7937454581260681,0.0028226596768945456,0.3903171420097351,-0.32836881279945374,0.6187060475349426,0.6267420053482056,0.7656311392784119,0.14492523670196533,0.773044764995575,-0.6343023777008057,0.007880385965108871,0.5591091513633728,0.22216692566871643,0.06999994069337845,1.0,-3.871948308642459e-07,-2.8017657882628555e-07,3.8719488770766475e-07,1.0,2.3242627378294856e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5591091513633728,0.22216692566871643,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
5,0,LEFT_APPROACH_PRE,0.47877323627471924,0.3073297142982483,0.6548922657966614,0.8208754658699036,-0.5710924863815308,-0.004104265943169594,-0.57108473777771,-0.8208857178688049,0.0029844576492905617,0.38037794828414917,-0.3337540328502655,0.6054415702819824,0.606847882270813,0.7730958461761475,0.18454937636852264,0.7852135896682739,-0.6191172003746033,0.0115509033203125,0.5591091513633728,0.22216692566871643,0.06999994069337845,1.0,-3.871948308642459e-07,-2.8017657882628555e-07,3.8719488770766475e-07,1.0,2.3242627378294856e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5591091513633728,0.22216692566871643,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
6,0,LEFT_APPROACH_PRE,0.48736661672592163,0.3079906105995178,0.6512343287467957,0.8457735180854797,-0.5335292816162109,-0.0037072605919092894,-0.533521294593811,-0.845781683921814,0.002975539304316044,0.371837317943573,-0.33832892775535583,0.5926260352134705,0.5868940949440002,0.7778542041778564,0.22471801936626434,0.7959538698196411,-0.6051483154296875,0.015915073454380035,0.5591091513633728,0.22216692566871643,0.06999994069337845,1.0,-3.871948308642459e-07,-2.8017657882628555e-07,3.8719488770766475e-07,1.0,2.3242627378294856e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5591091513633728,0.22216692566871643,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
7,0,LEFT_APPROACH_PRE,0.4954271614551544,0.30788710713386536,0.647669792175293,0.8680375218391418,-0.4964877665042877,-0.0032740698661655188,-0.49648019671440125,-0.8680433034896851,0.002875053323805332,0.36456555128097534,-0.34210190176963806,0.5803331732749939,0.566810667514801,0.7799761295318604,0.2652602791786194,0.8053872585296631,-0.5923810005187988,0.02088809758424759,0.5591091513633728,0.22216692566871643,0.06999994069337845,1.0,-3.871948308642459e-07,-2.8017657882628555e-07,3.8719488770766475e-07,1.0,2.3242627378294856e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5591091513633728,0.22216692566871643,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
8,0,LEFT_APPROACH_PRE,0.5027435421943665,0.30695733428001404,0.6442368626594543,0.8876314163208008,-0.4605458378791809,-0.0028362045995891094,-0.4605391025543213,-0.8876352906227112,0.002725285943597555,0.3584460914134979,-0.34509190917015076,0.568619430065155,0.5465312600135803,0.7795215845108032,0.3060224950313568,0.8136199712753296,-0.5807979702949524,0.02638930082321167,0.5591091513633728,0.22216692566871643,0.06999994069337845,1.0,-3.871948308642459e-07,-2.8017657882628555e-07,3.8719488770766475e-07,1.0,2.3242627378294856e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5591091513633728,0.22216692566871643,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
9,0,LEFT_APPROACH_PRE,0.5091977119445801,0.3052274286746979,0.6409668326377869,0.9046931266784668,-0.42605695128440857,-0.002411969006061554,-0.42605122923851013,-0.9046955704689026,0.0025512967258691788,0.35337236523628235,-0.34732282161712646,0.5575270056724548,0.5259886980056763,0.7765459418296814,0.34686073660850525,0.8207480311393738,-0.5703744292259216,0.032340630888938904,0.5591091513633728,0.22216692566871643,0.06999994069337845,1.0,-3.871948308642459e-07,-2.8017657882628555e-07,3.8719488770766475e-07,1.0,2.3242627378294856e-07,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5591091513633728,0.22216692566871643,0.5699999332427979,-1.3435885648505064e-07,-0.0,-1.0000001192092896,0.0,1.0,-0.0,0.0,0.3494022488594055,-0.3046668767929077,0.46116122603416443,-0.024483243003487587,0.2677595615386963,0.9631747007369995,0.8274203538894653,-0.5352850556373596,0.1698399782180786,0.0
