step,phase,phase_name,left_tcp_x,left_tcp_y,left_tcp_z,right_ee_x,right_ee_y,right_ee_z,obj_x,obj_y,obj_z,left_grasped,right_grasped,action_left_dx,action_left_dy,action_left_dz,action_right_dx,action_right_dy,action_right_dz,action_left_gripper,action_right_gripper
0,0,LEFT_APPROACH_PRE,0.4431147873401642,0.3029959201812744,0.6739183068275452,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.010696718426431799,-0.011380213998802546,-0.01249283571680557,0.0,0.0,0.0,0.0,0.0
1,0,LEFT_APPROACH_PRE,0.4466731548309326,0.3036840558052063,0.6713024377822876,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.010464862521426309,-0.011681643827703946,-0.012410715124049594,0.0,0.0,0.0,0.0,0.0
2,0,LEFT_APPROACH_PRE,0.45337048172950745,0.30484113097190857,0.6667713522911072,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.009982482865857279,-0.012237912522877958,-0.012271248221564612,0.0,0.0,0.0,0.0,0.0
3,0,LEFT_APPROACH_PRE,0.4610939621925354,0.30483561754226685,0.6621643304824829,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.009394136532887341,-0.012768725898992844,-0.012194664313455325,0.0,0.0,0.0,0.0,0.0
4,0,LEFT_APPROACH_PRE,0.46985024213790894,0.30509641766548157,0.6577965617179871,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.00860141392679696,-0.01337200710521116,-0.012132811069083928,0.0,0.0,0.0,0.0,0.0
5,0,LEFT_APPROACH_PRE,0.4788797199726105,0.30527442693710327,0.653532087802887,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.007679231794116978,-0.01398981489429404,-0.012054645506011848,0.0,0.0,0.0,0.0,0.0
6,0,LEFT_APPROACH_PRE,0.4875800311565399,0.30496758222579956,0.6493645310401917,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.0067070159562198,-0.01456064988337086,-0.011958403402499231,0.0,0.0,0.0,0.0,0.0
7,0,LEFT_APPROACH_PRE,0.49556273221969604,0.30400893092155457,0.6453554630279541,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.0057460018089837495,-0.015049490999313162,-0.011853112834726058,0.0,0.0,0.0,0.0,0.0
8,0,LEFT_APPROACH_PRE,0.5025891065597534,0.3023630678653717,0.6415735483169556,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.004844629431926069,-0.015440283544030233,-0.011752753283689098,0.0,0.0,0.0,0.0,0.0
9,0,LEFT_APPROACH_PRE,0.5085392594337463,0.3000536262989044,0.6380660533905029,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.004039294880219163,-0.015729734500230116,-0.011673026575096352,0.0,0.0,0.0,0.0,0.0
10,0,LEFT_APPROACH_PRE,0.5133900046348572,0.2971285283565521,0.6348515152931213,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.003353654592062476,-0.015922409786674606,-0.01162883775200028,0.0,0.0,0.0,0.0,0.0
11,0,LEFT_APPROACH_PRE,0.5172047019004822,0.29365265369415283,0.6319196820259094,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.002796722349614587,-0.01602751508569953,-0.011631728344353656,0.0,0.0,0.0,0.0,0.0
12,0,LEFT_APPROACH_PRE,0.5201171636581421,0.2897169291973114,0.6292380690574646,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.0023627125115264548,-0.01605680795370928,-0.011687450873718133,0.0,0.0,0.0,0.0,0.0
13,0,LEFT_APPROACH_PRE,0.5223138928413391,0.28544431924819946,0.626763105392456,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.0020319634992994598,-0.01602335620086369,-0.01179504897818393,0.0,0.0,0.0,0.0,0.0
14,0,LEFT_APPROACH_PRE,0.5239909291267395,0.2809765934944153,0.6244534850120544,1.184249997138977,-0.20929992198944092,0.06084941327571869,0.5320926308631897,0.2083325982093811,0.06999993324279785,0.0,0.0,0.0017777005449160744,-0.015939770952326994,-0.01194836736796947,0.0,0.0,0.0,0.0,0.0
